date,code,open,high,low,close,volume,amount,turn,pctChg
2025-01-13,sh.603618,5.0,5.06,4.87,5.02,7641183,38044728.81,1.1052,-0.3968
2025-01-14,sh.603618,5.05,5.27,5.05,5.27,6444267,33483424.05,0.9321,4.9801
2025-01-15,sh.603618,5.27,5.32,5.22,5.24,5490000,28873048.0,0.7941,-0.5693
2025-01-16,sh.603618,5.24,5.36,5.21,5.25,5068500,26742630.0,0.7331,0.1908
2025-01-17,sh.603618,5.24,5.3,5.2,5.29,5018700,26374748.0,0.7259,0.7619
2025-01-20,sh.603618,5.29,5.65,5.29,5.58,13380834,73607443.07,1.9354,5.482
2025-01-21,sh.603618,5.58,5.97,5.57,5.87,23484568,135442611.0,3.3968,5.1971
2025-01-22,sh.603618,5.87,6.13,5.8,6.0,34145373,203879238.59,4.9388,2.2147
2025-01-23,sh.603618,6.09,6.12,5.85,6.03,25694968,154305890.0,3.7165,0.5
2025-01-24,sh.603618,5.95,6.05,5.8,5.92,16916800,99891032.0,2.4468,-1.8242
2025-01-27,sh.603618,5.89,5.97,5.71,5.72,12482900,72554504.0,1.8055,-3.3784
2025-02-05,sh.603618,5.81,5.88,5.67,5.73,11317719,64942775.87,1.637,0.1748
2025-02-06,sh.603618,5.71,5.77,5.64,5.77,10903800,62212520.0,1.5771,0.6981
2025-02-07,sh.603618,5.77,6.35,5.75,6.35,15583595,94541783.25,2.254,10.052
2025-02-10,sh.603618,6.99,6.99,6.41,6.47,93139394,620569275.04,13.4716,1.8898
2025-02-11,sh.603618,6.4,6.55,6.13,6.31,62861467,393827981.71,9.0922,-2.473
2025-02-12,sh.603618,6.35,6.52,6.24,6.36,51479890,328157709.05,7.446,0.7924
2025-02-13,sh.603618,6.39,6.45,6.15,6.15,36317936,226131371.11,5.253,-3.3019
2025-02-14,sh.603618,6.15,6.32,6.09,6.12,28466716,175795297.36,4.1174,-0.4878
2025-02-17,sh.603618,6.21,6.43,6.11,6.36,37190996,234152603.51,5.3793,3.9216
2025-02-18,sh.603618,6.34,6.45,6.2,6.21,27472505,173661980.05,3.9736,-2.3585
2025-02-19,sh.603618,6.2,6.34,6.18,6.25,23151467,145103461.82,3.3486,0.6441
2025-02-20,sh.603618,6.25,6.27,6.12,6.23,17516600,108168061.0,2.5336,-0.32
2025-02-21,sh.603618,6.27,6.85,6.26,6.85,21749458,145813803.3,3.1458,9.9518
2025-02-24,sh.603618,6.8,6.8,6.36,6.51,64889558,422931163.26,9.3856,-4.9635
2025-02-25,sh.603618,6.4,6.51,6.36,6.4,30742000,197505693.0,4.4465,-1.6897
2025-02-26,sh.603618,6.41,6.65,6.4,6.55,38176473,248433570.88,5.5218,2.3438
2025-02-27,sh.603618,6.57,6.6,6.36,6.5,23685372,153133780.96,3.4258,-0.7634
2025-02-28,sh.603618,6.45,6.47,6.23,6.24,18345600,116167368.45,2.6535,-4.0
2025-03-03,sh.603618,6.3,6.64,6.22,6.46,28023594,180508643.57,4.0533,3.5256
2025-03-04,sh.603618,6.4,6.74,6.34,6.7,34294040,227302034.33,4.9603,3.7152
2025-03-05,sh.603618,6.7,7.37,6.55,7.37,47974305,339363907.34,6.939,10.0
2025-03-06,sh.603618,7.74,8.11,7.65,8.11,38620928,307246476.07,5.5861,10.0407
2025-03-07,sh.603618,8.11,8.74,7.5,7.63,125135805,1007678923.57,18.0995,-5.9186
