date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-25,sz.300659,17.7,18.55,17.51,18.01,8800035,159041490.76,4.6235,0.6145
2025-02-26,sz.300659,18.0,18.24,17.81,18.09,7013061,126132862.61,3.6846,0.4442
2025-02-27,sz.300659,18.08,18.15,17.22,17.46,8870711,156146601.2,4.6606,-3.4826
2025-02-28,sz.300659,17.48,17.48,16.38,16.4,7749350,130753599.79,4.0715,-6.071
2025-03-03,sz.300659,16.5,17.09,16.27,16.71,5639323,94632263.45,2.9629,1.8902
2025-03-04,sz.300659,16.45,18.13,16.45,18.03,11709985,205109261.85,6.1524,7.8995
2025-03-05,sz.300659,17.98,18.49,17.71,17.93,10110455,182260340.6,5.312,-0.5546
2025-03-06,sz.300659,17.93,18.37,17.91,18.2,10083893,183278547.47,5.298,1.5059
2025-03-07,sz.300659,18.11,18.25,17.64,17.78,8312174,149079184.62,4.3672,-2.3077
2025-03-10,sz.300659,17.77,18.48,17.5,18.36,10413080,187228214.2,5.471,3.2621
2025-03-11,sz.300659,17.9,18.45,17.88,18.28,6723200,122223467.7,3.5323,-0.4357
