date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-20,sz.002580,9.47,9.68,9.31,9.63,35157170,333708038.24,7.7723,1.5823
2025-02-21,sz.002580,9.6,10.59,9.6,10.59,60053890,621286283.5,13.2763,9.9688
2025-02-24,sz.002580,11.01,11.65,10.9,11.65,81742759,942603510.43,18.0711,10.0094
2025-02-25,sz.002580,12.02,12.82,12.02,12.82,48541792,612033071.74,10.7313,10.0429
2025-02-26,sz.002580,14.1,14.1,14.1,14.1,6042796,85203423.6,1.3359,9.9844
2025-02-27,sz.002580,15.51,15.51,15.13,15.51,90058897,1396107548.26,19.9096,10.0
2025-02-28,sz.002580,15.72,16.9,14.6,14.93,224721489,3539720172.2,49.6799,-3.7395
2025-03-03,sz.002580,15.0,15.33,13.44,13.72,160834342,2314037611.14,35.5562,-8.1045
2025-03-04,sz.002580,13.0,14.3,12.95,14.3,141895005,1916854385.14,31.3692,4.2274
2025-03-05,sz.002580,14.66,14.97,14.16,14.53,106250062,1550284692.43,23.489,1.6084
2025-03-06,sz.002580,14.82,15.11,14.36,14.53,94884644,1395137728.5,20.9765,0.0
2025-03-07,sz.002580,14.66,15.01,13.8,14.0,85775738,1243315974.96,18.9627,-3.6476
2025-03-10,sz.002580,14.52,15.14,14.3,15.06,90311173,1337530864.72,19.9654,7.5714
2025-03-11,sz.002580,14.4,15.75,14.0,15.41,100472113,1521561554.53,22.2117,2.324
