date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.600379,8.63,3012440,25636702.4,0.9123,0.0
2025-01-14,sh.600379,8.95,3579636,31567970.98,1.0841,3.708
2025-01-15,sh.600379,8.85,2111440,18757534.6,0.6394,-1.1173
2025-01-16,sh.600379,8.93,4381740,39326171.8,1.327,0.904
2025-01-17,sh.600379,8.96,4056600,36403630.0,1.2285,0.3359
2025-01-20,sh.600379,9.15,5208576,47463241.28,1.5774,2.1205
2025-01-21,sh.600379,8.98,3028014,27308616.44,0.917,-1.6429
2025-01-22,sh.600379,9.03,2643414,23836576.7,0.8005,0.5568
2025-01-23,sh.600379,9.03,2342300,21344854.0,0.7094,0.0
2025-01-24,sh.600379,9.2,5004959,46137145.23,1.5157,1.8826
2025-01-27,sh.600379,9.21,3373440,31340600.4,1.0216,0.1087
2025-02-05,sh.600379,9.23,3090222,28446494.5,0.9359,0.2172
2025-02-06,sh.600379,9.42,5042282,46911656.92,1.527,2.0585
2025-02-07,sh.600379,9.39,5110660,48029768.8,1.5477,-0.3185
2025-02-10,sh.600379,9.42,3436760,32245905.2,1.0408,0.3195
2025-02-11,sh.600379,9.45,4435840,41955596.2,1.3434,0.3185
2025-02-12,sh.600379,9.56,3117140,29705578.8,0.944,1.164
2025-02-13,sh.600379,9.41,3328320,31479673.2,1.008,-1.569
2025-02-14,sh.600379,9.3,2632262,24608391.54,0.7972,-1.169
2025-02-17,sh.600379,9.41,3432000,32248650.0,1.0394,1.1828
2025-02-18,sh.600379,9.27,3516700,33010276.0,1.065,-1.4878
2025-02-19,sh.600379,9.41,3342300,31362093.0,1.0122,1.5102
2025-02-20,sh.600379,9.38,2845300,26611822.4,0.8617,-0.3188
2025-02-21,sh.600379,9.44,5145050,48619994.9,1.5582,0.6397
2025-02-24,sh.600379,9.5,3585160,33860046.2,1.0857,0.6356
2025-02-25,sh.600379,9.37,2835910,26698788.8,0.8588,-1.3684
2025-02-26,sh.600379,9.62,6473920,61825763.84,1.9606,2.6681
2025-02-27,sh.600379,9.64,5628926,54109855.78,1.7047,0.2079
2025-02-28,sh.600379,9.53,5114208,49375426.64,1.5488,-1.1411
2025-03-03,sh.600379,9.54,4384100,42121201.0,1.3277,0.1049
2025-03-04,sh.600379,9.65,3894340,37429560.2,1.1794,1.153
2025-03-05,sh.600379,9.58,3985700,37942681.0,1.2071,-0.7254
2025-03-06,sh.600379,9.63,4038140,38897355.8,1.2229,0.5219
2025-03-07,sh.600379,9.75,10718034,105927411.12,3.2459,1.2461
2025-03-10,sh.600379,9.9,7529020,74465393.4,2.2801,1.5385
2025-03-11,sh.600379,10.05,6741700,67112933.0,2.0417,1.5152
