date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.300890,29.11,29.39,28.81,29.37,3642812,106157969.55,3.406,1.1015
2025-02-11,sz.300890,29.42,30.18,29.0,29.83,4990055,147659868.54,4.6657,1.5662
2025-02-12,sz.300890,29.82,30.33,29.48,30.23,5406881,161779734.6,5.0554,1.3409
2025-02-13,sz.300890,30.1,31.58,29.99,30.73,10497248,325663682.42,9.8149,1.654
2025-02-14,sz.300890,30.7,31.88,30.49,31.17,9719137,304569914.93,9.0874,1.4318
2025-02-17,sz.300890,31.23,31.64,30.16,30.46,7527082,231286054.02,7.0378,-2.2778
2025-02-18,sz.300890,30.88,32.69,30.69,31.08,11783843,372518253.3,11.0179,2.0355
2025-02-19,sz.300890,30.53,31.25,30.0,31.21,7473271,230586124.79,6.9875,0.4183
2025-02-20,sz.300890,31.03,31.3,30.65,31.29,5602430,173743030.78,5.2383,0.2563
2025-02-21,sz.300890,31.02,32.24,31.02,32.04,8851138,282126393.86,8.2758,2.3969
2025-02-24,sz.300890,31.8,32.68,31.44,32.4,7903094,253526373.49,7.3894,1.1236
2025-02-25,sz.300890,32.0,33.35,31.81,32.88,9114979,299989473.6,8.5225,1.4815
2025-02-26,sz.300890,33.1,34.36,33.1,33.85,11267656,380412998.91,10.5352,2.9501
2025-02-27,sz.300890,34.0,36.66,33.88,34.99,18025838,634802487.56,16.8541,3.3678
2025-02-28,sz.300890,34.83,36.6,33.66,33.99,17538956,620410740.92,16.3989,-2.858
2025-03-03,sz.300890,35.0,37.0,34.5,35.4,20418499,731104306.89,19.0913,4.1483
2025-03-04,sz.300890,33.66,33.7,32.43,33.22,15997414,527841012.94,14.9575,-6.1582
2025-03-05,sz.300890,33.2,33.23,32.54,33.1,8220401,270119081.07,7.6861,-0.3612
2025-03-06,sz.300890,33.49,33.78,32.93,33.36,9438254,315516168.78,8.8247,0.7855
2025-03-07,sz.300890,33.04,33.35,32.32,32.66,7025206,230525531.34,6.5686,-2.0983
2025-03-10,sz.300890,32.8,33.64,32.54,33.4,7134503,237319393.39,6.6707,2.2658
2025-03-11,sz.300890,32.85,33.55,32.7,33.25,5202745,172178062.63,4.8646,-0.4491
