date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.002576,15.91,16.2,15.55,15.98,19160200,302628468.2,11.8253,0.0
2025-02-11,sz.002576,16.0,16.14,15.82,15.89,13217001,210752987.89,8.1573,-0.5632
2025-02-12,sz.002576,15.88,16.21,15.69,16.16,14991892,240646629.29,9.2527,1.6992
2025-02-13,sz.002576,16.14,16.14,15.66,15.66,10628200,168054749.0,6.5595,-3.0941
2025-02-14,sz.002576,15.66,15.85,15.46,15.56,6892397,107311790.38,4.2538,-0.6386
2025-02-17,sz.002576,15.72,15.9,15.55,15.89,9131076,143631970.49,5.6355,2.1208
2025-02-18,sz.002576,15.99,16.02,15.37,15.48,8624456,135327085.43,5.3228,-2.5802
2025-02-19,sz.002576,15.49,15.97,15.41,15.94,10067270,159476086.5,6.2133,2.9716
2025-02-20,sz.002576,15.95,16.39,15.85,16.25,16654833,269526003.06,10.279,1.9448
2025-02-21,sz.002576,16.15,16.34,16.1,16.22,12584145,203687458.9,7.7667,-0.1846
2025-02-24,sz.002576,16.17,16.28,15.81,16.07,9159545,147185008.15,5.6531,-0.9248
2025-02-25,sz.002576,15.98,16.2,15.82,16.08,8015000,128615590.0,4.9467,0.0622
2025-02-26,sz.002576,16.08,16.55,16.01,16.33,13981575,228546163.47,8.6291,1.5547
2025-02-27,sz.002576,16.34,16.45,15.85,16.16,9324384,150352799.44,5.7548,-1.041
2025-02-28,sz.002576,16.0,16.15,15.38,15.4,8054600,126111688.0,4.9711,-4.703
2025-03-03,sz.002576,15.45,15.78,15.3,15.45,6291700,98004936.0,3.8831,0.3247
2025-03-04,sz.002576,15.28,15.85,15.27,15.77,5843100,91607328.0,3.6062,2.0712
2025-03-05,sz.002576,15.78,17.34,15.7,16.48,19932001,327785518.56,12.3016,4.5022
2025-03-06,sz.002576,16.51,16.64,16.29,16.44,14707100,242278542.0,9.0769,-0.2427
2025-03-07,sz.002576,16.32,16.55,16.13,16.26,9368500,153168028.0,5.782,-1.0949
2025-03-10,sz.002576,16.55,16.88,16.41,16.7,17281750,288281841.5,10.6659,2.706
2025-03-11,sz.002576,16.32,16.99,16.3,16.9,18958071,318811646.35,11.7005,1.1976
